"Latitude","c3_yld","c3_sd_yld","c4_yld","c4_sd_yld","diff","sd_min","sd_max"
53.4841,1.8843447,0,1.5554765,0,-0.3288682,-0.3288682,-0.3288682
53.4716,1.9306113,0,1.5948316,0,-0.3357797,-0.3357797,-0.3357797
53.4591,1.9939458,0.05057454,1.6477945,0.041134655,-0.3461513,-0.39672584,-0.305016645
53.4382,2.0374649,0,1.6819463,0,-0.3555186,-0.3555186,-0.3555186
53.4007,2.225433,0.025688896,1.8410829,0.02014996,-0.3843501,-0.410038996,-0.36420014
53.3965,1.9971678,0.025956392,1.6486746,0.021427155,-0.3484932,-0.374449592,-0.327066045
53.3924,2.1891036,0,1.8125867,0,-0.3765169,-0.3765169,-0.3765169
53.3882,2.0103474,0.015648268,1.6615441,0.010481176,-0.3488033,-0.364451568,-0.338322124
53.384,2.0420418,0.08809095,1.6902375,0.07193276,-0.3518043,-0.43989525,-0.27987154
53.3798,2.1946197,0,1.8148288,0,-0.3797909,-0.3797909,-0.3797909
53.3757,1.8246938,0.36992586,1.5084665,0.30636233,-0.3162273,-0.68615316,-0.00986496999999997
53.359,1.8342094,0.26830572,1.514546,0.2209299,-0.3196634,-0.58796912,-0.0987335
53.3548,1.454768,0,1.2021041,0,-0.2526639,-0.2526639,-0.2526639
53.3506,2.1891036,0,1.8125867,0,-0.3765169,-0.3765169,-0.3765169
53.3465,1.9003934,0.12049121,1.5687817,0.10066146,-0.3316117,-0.45210291,-0.23095024
53.334,2.154637,0.014784889,1.7840468,0.012241918,-0.3705902,-0.385375089,-0.358348282
53.3298,2.147389,0.01669103,1.7769151,0.014684318,-0.3704739,-0.38716493,-0.355789582
53.3256,2.195252,0,1.8176763,0,-0.3775757,-0.3775757,-0.3775757
53.3214,2.195252,0,1.8176763,0,-0.3775757,-0.3775757,-0.3775757
53.3131,2.1441824,0,1.7753905,0,-0.3687919,-0.3687919,-0.3687919
53.3048,2.0245082,0.0065641403,1.6729033,0.0054127574,-0.3516049,-0.3581690403,-0.3461921426
53.3006,2.0245082,0.0065641403,1.6729033,0.0054127574,-0.3516049,-0.3581690403,-0.3461921426
53.2964,2.185399,0.009853005,1.8095179,0.008158386,-0.3758811,-0.385734105,-0.367722714
53.2922,1.9389834,0,1.6034317,0,-0.3355517,-0.3355517,-0.3355517
53.2881,2.106968,0.093561225,1.7436327,0.078923754,-0.3633353,-0.456896525,-0.284411546
53.2839,2.1771588,0.02367429,1.8026952,0.019602425,-0.3744636,-0.39813789,-0.354861175
53.2797,2.0967474,0.08810498,1.7342398,0.074627936,-0.3625076,-0.45061258,-0.287879664
53.2756,2.1873696,0.009653934,1.8111496,0.007993553,-0.37622,-0.385873934,-0.368226447
53.2714,2.2101512,0,1.8300129,0,-0.3801383,-0.3801383,-0.3801383
53.2672,2.198616,0.016313078,1.8204618,0.0135073345,-0.3781542,-0.394467278,-0.3646468655
53.263,2.1874933,0,1.8112534,0,-0.3762399,-0.3762399,-0.3762399
53.2589,2.1845896,0.008363169,1.8088484,0.0069249184,-0.3757412,-0.384104369,-0.3688162816
53.2547,2.1658378,0.02165544,1.793322,0.017931461,-0.3725158,-0.39417124,-0.354584339
53.2505,2.2659764,0.03592793,1.8762366,0.029748129,-0.3897398,-0.42566773,-0.359991671
53.2464,2.2420316,0.06585953,1.8559049,0.055523574,-0.3861267,-0.45198623,-0.330603126
53.2422,2.1936522,0.11003154,1.8146491,0.0930268,-0.3790031,-0.48903464,-0.2859763
53.238,2.0901113,0,1.7271246,1.1920929e-07,-0.3629867,-0.3629867,-0.36298658079071
53.2338,2.2355797,0.060795352,1.849865,0.051876273,-0.3857147,-0.446510052,-0.333838427
53.2297,2.2821646,0.04176514,1.8899975,0.034727413,-0.3921671,-0.43393224,-0.357439687
53.2255,2.1795871,0.08437921,1.8021632,0.071386516,-0.3774239,-0.46180311,-0.306037384
53.2213,2.1916966,0.0927815,1.8131747,0.07843348,-0.3785219,-0.4713034,-0.30008842
53.2172,2.201892,0.09076843,1.8214071,0.07688181,-0.3804849,-0.47125333,-0.30360309
53.213,2.092801,0.038369976,1.7296224,0.031191105,-0.3631786,-0.401548576,-0.331987495
53.2088,2.1947699,0.10399687,1.8161008,0.08842951,-0.3786691,-0.48266597,-0.29023959
53.2046,2.1943827,0.29571968,1.8178387,0.25332677,-0.376544,-0.67226368,-0.12321723
53.2005,2.1939955,0.08877924,1.8152084,0.075762644,-0.3787871,-0.46756634,-0.303024456
53.1963,2.1851943,0.09055631,1.8076397,0.077176794,-0.3775546,-0.46811091,-0.300377806
53.1921,2.1700795,0.0876392,1.794476,0.074198395,-0.3756035,-0.4632427,-0.301405105
53.188,2.1947508,0.08077401,1.8157588,0.06863789,-0.378992,-0.45976601,-0.31035411
53.1838,2.13771,0.06940428,1.7670078,0.058692273,-0.3707022,-0.44010648,-0.312009927
53.1796,2.3004522,0.023662487,1.9050682,0.019578481,-0.395384,-0.419046487,-0.375805519
53.1755,2.2690318,0.07185853,1.8781772,0.06077626,-0.3908546,-0.46271313,-0.33007834
53.1713,2.2633379,0.08661337,1.8733526,0.07311411,-0.3899853,-0.47659867,-0.31687119
53.1671,2.1769278,0.07307706,1.8015099,0.061816145,-0.3754179,-0.44849496,-0.313601755
53.1629,2.1767683,0.07879899,1.8018384,0.066711925,-0.3749299,-0.45372889,-0.308217975
53.1588,2.1972706,0.06787297,1.8189708,0.057137117,-0.3782998,-0.44617277,-0.321162683
53.1546,2.1809301,0.048891235,1.8048959,0.041518208,-0.3760342,-0.424925435,-0.334515992
53.1504,2.1637459,0.07439503,1.7908622,0.062919855,-0.3728837,-0.44727873,-0.309963845
53.1463,2.1670065,0.06688486,1.793013,0.05667037,-0.3739935,-0.44087836,-0.31732313
53.1421,2.1754007,0.06622664,1.8004438,0.056196492,-0.3749569,-0.44118354,-0.318760408
53.1379,2.185329,0.058958277,1.8091856,0.04997883,-0.3761434,-0.435101677,-0.32616457
53.1337,2.1439638,0.07445206,1.7740602,0.06288401,-0.3699036,-0.44435566,-0.30701959
53.1296,2.2087166,0.03293319,1.828825,0.02726885,-0.3798916,-0.41282479,-0.35262275
53.1254,2.1653502,0.06255037,1.7913787,0.053307492,-0.3739715,-0.43652187,-0.320664008
53.1212,2.150853,0.10038877,1.7795128,0.08490141,-0.3713402,-0.47172897,-0.28643879
53.1171,2.1977859,0.17622271,1.8204118,0.15173753,-0.3773741,-0.55359681,-0.22563657
53.1129,2.2023091,0.043452792,1.8231661,0.036686264,-0.379143,-0.422595792,-0.342456736
53.1087,2.1584685,0.08721396,1.7862946,0.07359221,-0.3721739,-0.45938786,-0.29858169
53.1045,2.245475,0.20785248,1.8618435,0.17940848,-0.3836315,-0.59148398,-0.20422302
53.1004,2.1268682,0.059974533,1.7590659,0.051162057,-0.3678023,-0.427776833,-0.316640243
53.0962,2.1371627,0.04434563,1.767224,0.038053505,-0.3699387,-0.41428433,-0.331885195
53.092,2.261398,0.05494583,1.8733394,0.046538465,-0.3880586,-0.44300443,-0.341520135
53.0879,2.1520271,0.029126028,1.779507,0.025584567,-0.3725201,-0.401646128,-0.346935533
53.0837,2.031279,0.11757959,1.6762599,0.09702727,-0.3550191,-0.47259869,-0.25799183
53.0795,2.095924,0.07710464,1.7327678,0.065337785,-0.3631562,-0.44026084,-0.297818415
53.0753,2.0353189,0.10958714,1.6819158,0.0917223,-0.3534031,-0.46299024,-0.2616808
53.0712,2.0355587,0.11979928,1.6827009,0.102523364,-0.3528578,-0.47265708,-0.250334436
53.067,2.0399315,0.12613793,1.6862407,0.10649661,-0.3536908,-0.47982873,-0.24719419
53.0628,2.007899,0.11337,1.657763,0.09401441,-0.350136,-0.463506,-0.25612159
53.0587,2.0834777,0.0921985,1.7206091,0.07851019,-0.3628686,-0.4550671,-0.28435841
53.0545,2.0246916,0.051249277,1.6717815,0.041358512,-0.3529101,-0.404159377,-0.311551588
53.0503,1.9935486,0.09507889,1.6455436,0.078551,-0.348005,-0.44308389,-0.269454
53.0461,2.0138235,0.08738655,1.662702,0.07234477,-0.3511215,-0.43850805,-0.27877673
53.042,2.04817,0.09961182,1.69142,0.08275174,-0.35675,-0.45636182,-0.27399826
53.0378,2.0483303,0.10824438,1.6915047,0.09007369,-0.3568256,-0.46506998,-0.26675191
53.0336,2.0488696,0.080505796,1.6922785,0.067477144,-0.3565911,-0.437096896,-0.289113956
