"Latitude","c3_yld","c3_sd_yld","c4_yld","c4_sd_yld","diff","sd_min","sd_max"
53.4841,2.148247,0,1.8060627,0,-0.3421843,-0.3421843,-0.3421843
53.4716,2.15214,0,1.8098432,0,-0.3422968,-0.3422968,-0.3422968
53.4591,2.234498,0.043326378,1.8802613,0.035276413,-0.3542367,-0.397563078,-0.318960287
53.4382,2.3480246,0,1.9746004,0,-0.3734242,-0.3734242,-0.3734242
53.4007,2.450949,0.045487124,2.063978,0.03716801,-0.386971,-0.432458124,-0.34980299
53.3965,2.3148563,0.02724266,1.9463995,0.022906482,-0.3684568,-0.39569946,-0.345550318
53.3924,2.3866205,0,2.0114143,0,-0.3752062,-0.3752062,-0.3752062
53.3882,2.2719579,0.085904986,1.9120264,0.07015294,-0.3599315,-0.445836486,-0.28977856
53.384,2.2309394,0.11118597,1.8796036,0.092659086,-0.3513358,-0.46252177,-0.258676714
53.3798,2.4235191,0,2.040094,0,-0.3834251,-0.3834251,-0.3834251
53.3757,2.0550551,0.3684641,1.7300953,0.30999863,-0.3249598,-0.6934239,-0.0149611700000002
53.359,2.1247919,0.30985475,1.7872413,0.2596104,-0.3375506,-0.64740535,-0.0779401999999999
53.3548,1.6865909,0,1.4200966,0,-0.2664943,-0.2664943,-0.2664943
53.3506,2.3866205,0,2.0114143,0,-0.3752062,-0.3752062,-0.3752062
53.3465,2.1919937,0.14840735,1.8429116,0.12688842,-0.3490821,-0.49748945,-0.22219368
53.334,2.3514812,0.017328873,1.9817976,0.014604501,-0.3696836,-0.387012473,-0.355079099
53.3298,2.3563743,0.013055083,1.9847472,0.011174849,-0.3716271,-0.384682183,-0.360452251
53.3256,2.3998725,0,2.022581,0,-0.3772915,-0.3772915,-0.3772915
53.3214,2.3998725,0,2.022581,0,-0.3772915,-0.3772915,-0.3772915
53.3131,2.339228,0,1.9714706,0,-0.3677574,-0.3677574,-0.3677574
53.3048,2.2830472,0.08161557,1.9208515,0.070176244,-0.3621957,-0.44381127,-0.292019456
53.3006,2.2830472,0.08161557,1.9208515,0.070176244,-0.3621957,-0.44381127,-0.292019456
53.2964,2.3879304,0.011942268,2.0125163,0.01006484,-0.3754141,-0.387356368,-0.36534926
53.2922,2.1388497,0,1.8004621,0,-0.3383876,-0.3383876,-0.3383876
53.2881,2.3430607,0.040907577,1.9741805,0.035129488,-0.3688802,-0.409787777,-0.333750712
53.2839,2.3777466,0.02743959,2.0039334,0.023125768,-0.3738132,-0.40125279,-0.350687432
53.2797,2.2896276,0.09860614,1.9270778,0.08542071,-0.3625498,-0.46115594,-0.27712909
53.2756,2.3903189,0.011700985,2.0145292,0.00986149,-0.3757897,-0.387490685,-0.36592821
53.2714,2.4140487,0,2.0345287,0,-0.37952,-0.37952,-0.37952
53.2672,2.4013617,0.01794197,2.0238364,0.01512139,-0.3775253,-0.39546727,-0.36240391
