"Latitude","c3_yld","c3_sd_yld","c4_yld","c4_sd_yld","diff","sd_min","sd_max"
53.4841,2.5099692,0,2.239254,0,-0.2707152,-0.2707152,-0.2707152
53.4716,2.4368017,0,2.1704743,0,-0.2663274,-0.2663274,-0.2663274
53.4591,2.5722919,0.044138074,2.2941031,0.037211776,-0.2781888,-0.322326874,-0.240977024
53.4382,2.7593899,0,2.4648972,0,-0.2944927,-0.2944927,-0.2944927
53.4007,2.6722944,0.111590244,2.3786252,0.10154996,-0.2936692,-0.405259444,-0.19211924
53.3965,2.8459272,0.013095379,2.550991,0.015834093,-0.2949362,-0.308031579,-0.279102107
53.3924,2.5144818,0,2.2350118,0,-0.27947,-0.27947,-0.27947
53.3882,2.5923443,0.2945357,2.3131058,0.27195606,-0.2792385,-0.5737742,-0.00728243999999995
53.384,2.3615541,0.22506388,2.0985622,0.20530577,-0.2629919,-0.48805578,-0.0576861300000003
53.3798,2.7513762,0,2.4541624,0,-0.2972138,-0.2972138,-0.2972138
53.3757,2.350368,0.40100807,2.0988185,0.35534376,-0.2515495,-0.65255757,0.10379426
53.359,2.6390631,0.48769382,2.3682683,0.44179568,-0.2707948,-0.75848862,0.17100088
53.3548,1.94936,0,1.7434748,0,-0.2058852,-0.2058852,-0.2058852
53.3506,2.5144818,0,2.2350118,0,-0.27947,-0.27947,-0.27947
53.3465,2.702719,0.21977963,2.420965,0.20367426,-0.281754,-0.50153363,-0.0780797400000003
53.334,2.5549312,0.05270851,2.2747815,0.049129963,-0.2801497,-0.33285821,-0.231019737
53.3298,2.5539935,0.04411158,2.272068,0.041965283,-0.2819255,-0.32603708,-0.239960217
53.3256,2.727292,0,2.4355416,0,-0.2917504,-0.2917504,-0.2917504
53.3214,2.727292,0,2.4355416,0,-0.2917504,-0.2917504,-0.2917504
53.3131,2.5176606,0,2.2400413,0,-0.2776193,-0.2776193,-0.2776193
53.3048,2.658864,0.109344125,2.375082,0.10433972,-0.283782,-0.393126125,-0.17944228
53.3006,2.658864,0.109344125,2.375082,0.10433972,-0.283782,-0.393126125,-0.17944228
53.2964,2.6783822,0.048909903,2.3899016,0.04563999,-0.2884806,-0.337390503,-0.24284061
53.2922,2.2981434,0,2.0421004,0,-0.256043,-0.256043,-0.256043
53.2881,2.6676476,0.1358964,2.383313,0.13091159,-0.2843346,-0.420231,-0.15342301
53.2839,2.6336384,0.08218911,2.347934,0.07648964,-0.2857044,-0.36789351,-0.20921476
53.2797,2.6285298,0.08833564,2.3439863,0.08188951,-0.2845435,-0.37287914,-0.20265399
53.2756,2.6881642,0.047921725,2.3990295,0.044717878,-0.2891347,-0.337056425,-0.244416822
53.2714,2.6866188,0,2.3958485,0,-0.2907703,-0.2907703,-0.2907703
53.2672,2.66757,0.02693914,2.3786528,0.024318282,-0.2889172,-0.31585634,-0.264598918
53.263,2.6036613,0,2.3185666,0,-0.2850947,-0.2850947,-0.2850947
53.2589,2.650046,0.05000975,2.3630002,0.04709658,-0.2870458,-0.33705555,-0.23994922
53.2547,2.5606608,0.04300034,2.279304,0.039262652,-0.2813568,-0.32435714,-0.242094148
53.2505,2.5592275,0.02851347,2.2713091,0.026012992,-0.2879184,-0.31643187,-0.261905408
